t_const,season_num,episode_num
tt0762803,3,8
tt0762803,3,5
tt1380837,1,1
tt0165592,7,3
tt0074054,1,0
tt0806910,1,66
tt0806910,1,73
tt0806910,1,63
tt0165592,6,21
tt0165593,11,5
tt0169416,1,5
tt1049986,3,4
tt0165592,7,6
tt0806910,1,61
tt0165592,8,3
tt0958967,1,3
tt1294801,1,2
tt0076975,1,1
tt0165593,12,6
tt0167732,1,24
tt0400019,1,3
tt1466074,6,3
tt1466074,7,2
tt1466074,7,1
tt0165592,8,2
tt0400019,1,6
tt0958967,1,2
tt0077008,1,1
tt0165593,12,7
tt0400019,1,4
tt0934712,1,3
tt0400019,1,5
tt0077031,1,1
tt0075519,1,1
tt0208624,1,10
tt0159876,NULL,NULL
tt0165592,7,9
tt0806901,7,2
tt0075532,1,0
tt0075533,1,1
tt0927664,1,2
tt0165592,8,7
tt0075539,1,0
tt0806910,1,82
tt0075529,1,0
tt1245432,1,4
tt0075551,1,0
tt1049986,6,9
tt1245432,1,1
tt1057900,1,1
tt1049986,6,10
tt0075573,1,0
tt0958967,1,6
tt0958967,1,4
tt0165592,8,1
tt0806910,1,72
tt0806910,1,75
tt0400019,1,2
tt0165593,13,2
tt0165593,12,4
tt0165593,13,1
tt0165593,14,1
tt0165592,8,17
tt0078564,1,0
tt0165592,9,7
tt0120958,NULL,NULL
tt0046593,24,16
tt5272570,1,1
tt5272570,1,2
tt1466074,7,4
tt1466074,7,3
tt1466074,7,5
tt1245432,2,1
tt0165593,13,7
tt0165592,8,15
tt0165592,9,4
tt0068067,7,3
tt0075471,1,10
tt0958967,1,16
tt0165593,13,3
tt0077011,1,0
tt0958967,1,20
tt0806910,1,64
tt1471316,NULL,NULL
tt0958967,1,22
tt0208624,1,11
tt0958967,2,1
tt0078643,1,0
tt0958967,1,19
tt0958967,1,11
tt4322992,1,2
tt4322992,1,3
tt4322992,1,1
tt0077008,1,2
tt0806910,1,83
tt0071054,5,1
tt0958967,1,17
tt0165592,9,6
tt0806910,1,91
tt0806910,1,90
tt0806910,1,87
tt0077093,1,0
tt2786254,1,2
tt0159876,6,5
tt0958967,1,21
tt0165592,9,15
tt0762803,6,4
tt1294801,1,5
tt0165592,9,14
tt0077031,2,1
tt1686687,NULL,NULL
tt0165592,10,3
tt0165592,9,20
tt0081845,1,0
tt0958967,1,23
tt0078595,1,0
tt1245432,3,3
tt0072543,1,3
tt0078697,1,1
tt0958967,2,2
tt0080227,1,1
tt0078622,1,0
tt0078635,1,1
tt2487424,1,1
tt2487424,1,2
tt1686687,NULL,NULL
tt0806910,1,107
tt0165593,14,2
tt0958967,2,12
tt1015569,1,1
tt0078681,1,0
tt0762803,6,1
tt0806910,1,100
tt0806910,1,97
tt0806910,1,96
tt0806910,1,95
tt0806910,1,101
tt0806910,1,104
tt0806910,1,105
tt0806910,1,106
tt0080289,1,1
tt0159876,6,10
tt0165593,14,3
tt0165593,14,5
tt3662072,NULL,NULL
tt0762803,7,1
tt0081863,1,0
tt0762803,6,9
tt0762803,7,5
tt0806910,1,119
tt0762803,6,15
tt0165592,11,10
tt0762803,7,13
tt0159876,NULL,NULL
tt0080240,1,1
tt0927664,1,5
tt0165592,11,6
tt0165593,15,2
tt0762803,6,25
tt0762803,6,8
tt0199214,1,2
tt0806910,1,113
tt0075471,4,1
tt0080231,1,7
tt0080276,1,0
tt0806910,1,114
tt0806910,1,111
tt0806910,1,112
tt0806910,1,108
tt0806910,1,117
tt0806910,1,118
tt0806910,1,115
tt0081826,NULL,NULL
tt0202179,11,1
tt0176357,1,5
tt0806910,1,122
tt0081837,1,1
tt0083395,1,0
tt0081843,1,0
tt0176357,1,6
tt0165592,11,8
tt0075471,3,8
tt0176357,2,4
tt0083464,1,0
tt0159876,NULL,NULL
tt0806910,1,124
tt0806910,1,125
tt0806910,1,126
tt0806910,1,131
tt0806910,1,130
tt0806910,1,128
tt0806910,1,123
tt0053510,NULL,NULL
tt0176357,1,4
tt0046593,28,22
tt0159876,12,2
tt0165592,13,8
tt0176357,1,25
tt1480503,1,71
tt1012950,1,1
tt1380834,1,1
tt0969784,2,13
tt0176357,1,9
tt1480503,1,36
tt0176357,1,10
tt0202179,12,5
tt0080231,1,10
tt0165592,12,19
tt0085032,1,0
tt0762803,8,14
tt0165592,13,4
tt0199214,2,4
tt0169446,NULL,NULL
tt1012950,5,1
tt0176357,1,2
tt0083437,1,1
tt0165593,15,3
tt1480503,1,11
tt0176357,1,17
tt0176357,1,11
tt0176357,1,16
tt0259794,1,3
tt0846838,1,3
tt0846838,1,2
tt0176357,1,3
tt1012950,4,3
tt0806910,1,133
tt0806910,1,137
tt0083486,1,1
tt0046593,28,14
tt0083488,1,1
tt0806910,1,139
tt0806910,1,132
tt0806910,1,138
tt0806910,1,134
tt0806910,1,140
tt0806910,1,143
tt0806910,1,135
tt0165592,12,16
tt0046593,28,12
tt0176357,1,14
tt0075474,7,5
tt0806901,13,1
tt0806910,1,147
tt0176357,3,12
tt0085002,1,1
tt0176357,2,3
tt0898240,1,1
tt0176357,2,5
tt0176357,2,8
tt1287866,1,8
tt0075471,6,1
tt0096552,NULL,NULL
tt0165593,16,3
tt0159876,11,11
tt1155386,1,1
tt1155386,1,2
tt1155386,1,3
tt0270639,NULL,NULL
tt0085051,1,1
tt0085055,1,1
tt0176357,4,2
tt2286153,1,6
tt0176357,2,2
tt0202179,13,7
tt0199214,3,3
tt0167732,1,18
tt0086791,1,1
tt0176357,2,12
tt0085084,1,0
tt0085088,1,0
tt0147770,1,8
tt0806910,1,152
tt0806910,1,146
tt0806910,1,144
tt0806910,1,148
tt0806910,1,149
tt0176357,3,3
tt1856236,1,8
tt2158111,1,3
tt0147770,1,7
tt0199184,NULL,NULL
tt0086678,1,1
tt0080231,1,8
tt0199214,4,5
tt0176357,3,14
tt0147770,1,10
tt0086690,1,0
tt0147770,1,3
tt0985040,1,1
tt0147770,1,4
tt0199214,4,7
tt0086712,1,1
tt0176357,5,11
tt0806910,1,160
tt0176357,3,1
tt0086722,1,1
tt0176357,4,5
tt0167732,1,16
tt0176357,3,9
tt0985040,2,1
tt0812202,1,4
tt0086733,1,1
tt0086734,1,1
tt0147770,1,6
tt0176357,3,10
tt0147770,1,2
tt0147770,1,5
tt0199214,6,2
tt0167732,1,15
tt0167732,1,9
tt0086759,1,1
tt0806910,1,169
tt0086765,1,0
tt0167732,1,8
tt0176357,4,13
tt0167732,1,20
tt2158111,1,2
tt2158111,1,1
tt0167732,1,13
tt0167732,1,10
tt0176357,3,2
tt0176357,3,7
tt0176357,5,2
tt0167732,1,3
tt0974356,NULL,NULL
tt0846838,1,4
tt0846838,1,5
tt0165592,13,1
tt0176357,4,3
tt0806910,1,163
tt0806910,1,154
tt0806910,1,157
tt0806910,1,156
tt0806910,1,164
tt0806910,1,158
tt0806910,1,155
tt0806910,1,159
tt0147770,1,13
tt0806901,20,8
tt0167732,1,11
tt0167732,1,6
tt0297626,1,3
tt0812202,1,3
tt0165592,14,3
tt0149504,1,0
tt0088655,1,2
tt0088655,1,3
tt0820333,1,3
tt0167732,1,17
tt0176357,5,4
tt0088476,1,0
tt0088622,1,9
tt0046593,31,5
tt0806910,1,187
tt0985040,3,3
tt1729107,1,7
tt0297626,2,10
tt0297626,3,2
tt0176357,4,11
tt0147770,1,12
tt0088495,1,1
tt0297626,1,1
tt0088507,1,6
tt0159876,NULL,NULL
tt0159876,NULL,NULL
tt0297626,2,5
tt0159876,13,10
tt0088558,1,1
tt0167732,1,28
tt0297626,2,1
tt0078657,6,7
tt0088568,1,1
tt0159876,15,1
tt0088571,1,1
tt0176357,4,6
tt0176357,NULL,NULL
tt2286153,1,12
tt0167732,1,12
tt0297626,2,9
tt0806910,1,176
tt0806901,8,5
tt0088606,1,1
tt0806910,1,166
tt0806910,1,171
tt0806910,1,170
tt0806910,1,167
tt0806910,1,172
tt0806910,1,174
tt3469694,1,3
tt0176357,4,18
tt0297626,2,3
tt0248656,1,6
tt0176357,4,14
tt1287866,NULL,NULL
tt0080231,1,1
tt0167732,1,22
tt0176357,6,1
tt0046593,31,4
tt0820333,2,6
tt0083486,5,16
tt0190210,1,3
tt0046593,30,16
tt0088622,1,3
tt0297626,3,1
tt0090410,1,1
tt0090481,1,1
tt0364151,2,2
tt1686687,NULL,NULL
tt0297626,3,5
tt0046593,30,10
tt0820333,2,5
tt0046593,30,5
tt0167732,1,21
tt0090445,1,1
tt0046593,30,1
tt0046593,31,2
tt0297626,2,8
tt0046593,30,9
tt0364151,2,1
tt0090460,1,1
tt0090466,1,1
tt0090469,1,0
tt0884889,1,3
tt1155386,1,4
tt0046593,31,7
tt0985040,4,2
tt0046593,31,3
tt0167732,1,25
tt0806901,18,2
tt0046593,30,11
tt0297626,3,6
tt0364151,2,4
tt0297626,3,7
tt0090498,1,1
tt0092434,1,0
tt0046593,30,7
tt0806910,1,181
tt0176357,5,1
tt0176357,5,16
tt0176357,5,13
tt2013869,1,4
tt0974356,NULL,NULL
tt1087545,1,7
tt0046593,31,9
tt0176357,5,19
tt0086791,2,5
tt1087545,1,6
tt0806910,1,182
tt1087545,1,4
tt0806910,1,180
tt0806910,1,188
tt0806910,1,179
tt0806910,1,184
tt0806910,1,185
tt0806910,1,186
tt0046593,31,8
tt0077082,7,14
tt0046593,30,13
tt0297626,2,13
tt0346222,1,7
tt1531715,1,1
tt0297626,3,4
tt0884889,NULL,NULL
tt0046593,31,19
tt0046593,31,23
tt1049304,2,4
tt0088621,3,3
tt0088507,1,1
tt0088507,NULL,NULL
tt0088507,1,15
tt0176357,6,10
tt0046593,31,22
tt0046593,31,15
tt0985040,4,7
tt0200358,23,1
tt0884889,NULL,NULL
tt0297626,4,5
tt0167732,1,33
tt0167732,1,30
tt0297626,3,11
tt1570506,1,1
tt0167606,1,13
tt0167606,1,10
tt0297626,3,9
tt0094477,1,0
tt0176357,6,8
tt0092374,1,1
tt0297626,6,5
tt0092381,1,2
tt0159876,NULL,NULL
tt0346222,1,2
tt0092389,1,1
tt0121027,23,6
tt0046593,31,17
tt0167732,1,29
tt0090481,2,1
tt0167732,1,26
tt0159876,NULL,NULL
tt0167732,NULL,NULL
tt0176357,6,2
tt0297626,3,12
tt0318224,23,16
tt0094416,1,2
tt0083470,5,1
tt0046593,32,3
tt1049304,2,10
tt1686687,NULL,NULL
tt0974356,NULL,NULL
tt0846838,1,8
tt0163492,2,15
tt0176357,8,3
