tconst,numVotes,averageRating
tt0002162,29,4.4
tt0002167,9,5
tt0002172,7,4.4
tt0002176,186,6.1
tt0002177,16,5.5
tt0002179,14,3.5
tt0002181,97,6.4
tt0002186,57,6.6
tt0002190,279,6.5
tt0002197,176,5.6
tt0002198,18,6.4
tt0002199,373,5.8
tt0002200,60,6.4
tt0002202,8,5.1
tt0002203,26,5
tt0002206,10,5.6
tt0002208,926,6.9
tt0002212,9,5.6
tt0002214,17,6.2
tt0002216,13,5.5
tt0002220,11,5.1
tt0002221,234,6.9
tt0002224,102,5.2
tt0002226,16,5.6
tt0002230,56,6.5
tt0002232,29,5.4
tt0002233,86,4.8
tt0002234,11,8.5
tt0002255,23,4.5
tt0002260,829,6.4
tt0002261,7,6.7
tt0002268,5,5.8
tt0002277,15,6.5
tt0002280,25,4.8
tt0002281,214,6.2
tt0002282,7,5.3
tt0002290,29,5.2
tt0002295,5,7.4
tt0002300,8,6.6
tt0002302,9,6.8
tt0002303,114,5.8
tt0002305,14,7.6
tt0002309,8,8.9
tt0002329,17,5.9
tt0002332,10,4.9
tt0002340,28,6.1
tt0002342,42,6.1
tt0002349,5,5.8
tt0002350,197,6.6
tt0002354,88,6.5
tt0002355,31,6.4
tt0002357,127,6.1
tt0002369,28,6.2
tt0002370,7,5.9
tt0002371,9,6.1
tt0002374,8,6.2
tt0002381,1507,6.7
tt0002386,105,6.2
tt0002387,17,4.4
tt0002391,572,6.5
tt0002392,5,5.4
tt0002398,24,5.4
tt0002399,5,4.2
tt0002400,175,5.7
tt0002402,6,7.7
tt0002405,14,5.3
tt0002406,8,5
tt0002408,216,6.3
tt0002409,7,6.3
tt0002415,380,6
tt0002421,82,6
tt0002423,549,6.9
tt0002429,129,6.4
tt0002434,5,9
tt0002440,11,3.6
tt0002441,12,6
tt0002443,5,4.2
tt0002445,179,6.4
tt0002449,33,6.1
tt0002451,8,8.2
tt0002452,165,7
tt0002461,186,5.7
tt0002465,17,5.8
tt0002473,49,6.9
tt0002475,55,7.4
tt0002478,15,5.2
tt0002484,46,5.5
tt0002497,24,5.3
tt0002501,18,4.4
tt0002504,27,5
tt0002505,5,4.6
tt0002512,275,6.5
tt0002514,5,6.8
tt0002521,14,5.6
tt0002523,63,5.7
tt0002528,26,4.9
tt0002529,5,4.4
tt0002531,5,6
tt0002532,65,6.1
tt0002533,43,5.3
tt0002535,22,4.8
tt0002536,29,5.7
tt0002538,6,4.7
tt0002542,6,6
tt0002544,119,6.4
tt0002545,7,7.4
tt0002546,11,7.2
tt0002547,5,5.8
tt0002550,20,5.3
tt0002553,556,6.7
tt0002555,18,5.6
tt0002556,12,5.8
tt0002562,6,5.2
tt0002569,158,5.5
tt0002574,7,6.9
tt0002576,25,4.8
tt0002588,10,6.8
tt0002592,12,7.3
tt0002601,19,5.2
tt0002603,14,5.4
tt0002605,5,7.8
tt0002610,86,5.1
tt0002621,54,5.2
