n_const,first_name,last_name,birth_year,death_year
nm0000602,Robert,Redford,1936,NULL
nm0000603,Vanessa,Redgrave,1937,NULL
nm0000604,John,C.Reilly,1965,NULL
nm0000605,Brad,Renfro,1982,2008
nm0000606,Jean,Reno,1948,NULL
nm0000607,Paul,Reubens,1952,NULL
nm0000608,Burt,Reynolds,1936,NULL
nm0000609,Ving,Rhames,1959,NULL
nm0000610,Giovanni,Ribisi,1974,NULL
nm0000611,Ariana,Richards,1979,NULL
nm0000612,Denise,Richards,1971,NULL
nm0000613,Joely,Richardson,1965,NULL
nm0000614,Alan,Rickman,1946,2016
nm0000615,John,Ritter,1948,2003
nm0000616,Eric,Roberts,1956,NULL
nm0000617,Tanya,Roberts,1955,NULL
nm0000618,Isabella,Rossellini,1952,NULL
nm0000619,Tim,Roth,1961,NULL
nm0000620,Mickey,Rourke,1952,NULL
nm0000621,Kurt,Russell,1951,NULL
nm0000622,Theresa,Russell,1957,NULL
nm0000623,Rene,Russo,1954,NULL
nm0000624,Laura,San,1962,NULL
nm0000625,Fred,Savage,1976,NULL
nm0000626,John,Sayles,1950,NULL
